GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	Q9S7M0	LHCB3	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF7	3702	TreeGrafter		P
UniProtKB	Q9S7M0	LHCB3	involved_in	GO:0009769	photosynthesis, light harvesting in photosystem II	ECO:0000315	IMP	PMID:26562806		3702	UniProt		P
UniProtKB	Q9S7M0	LHCB3	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9S7N7	PSAG	acts_upstream_of_or_within	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000315	IMP	PMID:11707465		3702	TAIR		P
UniProtKB	Q9S7N7	PSAG	acts_upstream_of_or_within	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000315	IMP	PMID:16045770		3702	TAIR		P
UniProtKB	Q9S7N7	PSAG	acts_upstream_of_or_within	GO:0009780	photosynthetic NADP+ reduction	ECO:0000315	IMP	PMID:15953472		3702	TAIR		P
UniProtKB	Q9S7N7	PSAG	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:11707465		3702	TAIR		P
UniProtKB	Q9S7N7	PSAG	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000549|InterPro:IPR017494|InterPro:IPR023618	3702	InterPro		P
UniProtKB	Q9S7N7	PSAG	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9S7W1	LHCB4.3	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9S7W1	LHCB4.3	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF83	3702	TreeGrafter		P
UniProtKB	Q9S7W1	LHCB4.3	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9S831	PSAE1	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003375	3702	InterPro		P
UniProtKB	Q9S831	PSAE1	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9S841	PSBO2	acts_upstream_of_or_within	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:15722336		3702	TAIR		P
UniProtKB	Q9S841	PSBO2	acts_upstream_of_or_within	GO:0019684	photosynthesis, light reaction	ECO:0000250	ISS	PMID:12123820		3702	TAIR		P
UniProtKB	Q9S841	PSBO2	involved_in	GO:0010207	photosystem II assembly	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002628	3702	InterPro		P
UniProtKB	Q9S841	PSBO2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9S9N6	PNSB1	acts_upstream_of_or_within	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000315	IMP	PMID:18785996		3702	TAIR		P
UniProtKB	Q9S9N6	PNSB1	involved_in	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR044983	3702	InterPro		P
UniProtKB	Q9S9P8	RFNR2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SA56	PSAD2	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003685|InterPro:IPR036579	3702	InterPro		P
UniProtKB	Q9SA56	PSAD2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SAU2	RPE	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00116	3702	UniProt		P
UniProtKB	Q9SEL7	DEGP5	acts_upstream_of_or_within	GO:0010206	photosystem II repair	ECO:0000315	IMP	PMID:17449806		3702	TAIR		P
UniProtKB	Q9SFB3	ATAB2	involved_in	GO:0048564	photosystem I assembly	ECO:0000315	IMP	PMID:25725436		3702	UniProt		P
UniProtKB	Q9SGH4	PNSL3	acts_upstream_of_or_within	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:20430763		3702	TAIR		P
UniProtKB	Q9SGH4	PNSL3	acts_upstream_of_or_within	GO:0019684	photosynthesis, light reaction	ECO:0000304	TAS	PMID:11719511		3702	TAIR		P
UniProtKB	Q9SGH4	PNSL3	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR33399:SF2	3702	TreeGrafter		P
UniProtKB	Q9SGH4	PNSL3	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008797	3702	InterPro		P
UniProtKB	Q9SHE8	PSAF	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003666|InterPro:IPR036577	3702	InterPro		P
UniProtKB	Q9SHE8	PSAF	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF33	3702	TreeGrafter		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:23995216		3702	UniProt		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000315	IMP	PMID:25194026		3702	UniProt		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:26392145		3702	UniProt		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0009769	photosynthesis, light harvesting in photosystem II	ECO:0000314	IDA	PMID:23995216		3702	UniProt		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0009769	photosynthesis, light harvesting in photosystem II	ECO:0000315	IMP	PMID:25194026		3702	UniProt		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0009769	photosynthesis, light harvesting in photosystem II	ECO:0000314	IDA	PMID:26392145		3702	UniProt		P
UniProtKB	Q9SHR7	LHCB2.1	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SJ02	SEP2	acts_upstream_of_or_within	GO:0009765	photosynthesis, light harvesting	ECO:0000250	ISS	PMID:10725357		3702	TAIR		P
UniProtKB	Q9SJ02	SEP2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SJE1	CHLD	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SKP6	TIM	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00116	3702	UniProt		P
UniProtKB	Q9SKP6	TIM	involved_in	GO:0019253	reductive pentose-phosphate cycle	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0113	3702	UniProt		P
UniProtKB	Q9SKT0	THF1	acts_upstream_of_or_within	GO:0010207	photosystem II assembly	ECO:0000304	TAS	PMID:16155179		3702	TAIR		P
UniProtKB	Q9SKT0	THF1	involved_in	GO:0010207	photosystem II assembly	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017499	3702	InterPro		P
UniProtKB	Q9SKT0	THF1	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR017499	3702	InterPro		P
UniProtKB	Q9SL05	PGR5	acts_upstream_of_or_within	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000315	IMP	PMID:12176323		3702	TAIR		P
UniProtKB	Q9SL05	PGR5	acts_upstream_of_or_within	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000315	IMP	PMID:18243102		3702	TAIR		P
UniProtKB	Q9SL05	PGR5	involved_in	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR037497	3702	InterPro		P
UniProtKB	Q9SL05	PGR5	involved_in	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR35709:SF1	3702	TreeGrafter		P
UniProtKB	Q9SNB7	LPE1	acts_upstream_of_or_within	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:30844105		3702	TAIR		P
UniProtKB	Q9SNB7	LPE1	involved_in	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:29891689		3702	UniProt		P
UniProtKB	Q9SRY4	LPA1	acts_upstream_of_or_within	GO:0010270	photosystem II oxygen evolving complex assembly	ECO:0000315	IMP	PMID:16531500		3702	TAIR		P
UniProtKB	Q9SRY4	LPA1	involved_in	GO:0010270	photosystem II oxygen evolving complex assembly	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR35498:SF4	3702	TreeGrafter		P
UniProtKB	Q9SSA5	CYP38	acts_upstream_of_or_within	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:17909185		3702	TAIR		P
UniProtKB	Q9SSS9	ATPD	acts_upstream_of_or_within	GO:0009772	photosynthetic electron transport in photosystem II	ECO:0000315	IMP	PMID:12970486		3702	TAIR		P
UniProtKB	Q9SSS9	ATPD	acts_upstream_of_or_within	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000315	IMP	PMID:12970486		3702	TAIR		P
UniProtKB	Q9SSS9	ATPD	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:12970486		3702	TAIR		P
UniProtKB	Q9SSS9	ATPD	involved_in	GO:0009772	photosynthetic electron transport in photosystem II	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR11910:SF1	3702	TreeGrafter		P
UniProtKB	Q9SSS9	ATPD	involved_in	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR11910:SF1	3702	TreeGrafter		P
UniProtKB	Q9SSS9	ATPD	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SUI4	PSAL	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003757|InterPro:IPR036592	3702	InterPro		P
UniProtKB	Q9SUI4	PSAL	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SUI5	PSAK	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000549|InterPro:IPR023618|InterPro:IPR035982	3702	InterPro		P
UniProtKB	Q9SUI5	PSAK	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SUI6	PSAH2	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004928	3702	InterPro		P
UniProtKB	Q9SUI6	PSAH2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SUI7	PSAH1	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004928	3702	InterPro		P
UniProtKB	Q9SUI7	PSAH1	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SVV6	TPK3	NOT|acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:31053658		3702	UniProt		P
UniProtKB	Q9SY97	LHCA3	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9SY97	LHCA3	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF14	3702	TreeGrafter		P
UniProtKB	Q9SY97	LHCA3	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:21806943		3702	UniProt		P
UniProtKB	Q9SY97	LHCA3	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SYH1	RSH3	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000314	IDA	PMID:26908759		3702	TAIR		P
UniProtKB	Q9SYP2	PFP-ALPHA1	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:19533038		3702	TAIR		P
UniProtKB	Q9SYP2	PFP-ALPHA1	involved_in	GO:0015979	photosynthesis	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR43650:SF17	3702	TreeGrafter		P
UniProtKB	Q9SYW8	LHCA2	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9SYW8	LHCA2	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF80	3702	TreeGrafter		P
UniProtKB	Q9SYW8	LHCA2	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:21806943		3702	UniProt		P
UniProtKB	Q9SYW8	LHCA2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SYX1	LIL3.1	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9SZC9	PAA1	acts_upstream_of_or_within	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:15772282		3702	TAIR		P
UniProtKB	Q9SZC9	PAA1	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:12782727		3702	UniProt		P
UniProtKB	Q9T0A4	ndhS	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR021659	3702	InterPro		P
UniProtKB	Q9T0A4	ndhS	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:24225949		3702	UniProt		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF143	3702	TreeGrafter		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:23995216		3702	UniProt		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0000314	IDA	PMID:26392145		3702	UniProt		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0009769	photosynthesis, light harvesting in photosystem II	ECO:0000314	IDA	PMID:26392145		3702	UniProt		P
UniProtKB	Q9XF87	LHCB2.4	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XF88	LHCB4.2	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9XF88	LHCB4.2	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF71	3702	TreeGrafter		P
UniProtKB	Q9XF88	LHCB4.2	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XF89	LHCB5	acts_upstream_of_or_within	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:25605904		3702	TAIR		P
UniProtKB	Q9XF89	LHCB5	acts_upstream_of_or_within	GO:0015979	photosynthesis	ECO:0000315	IMP	PMID:18381925		3702	TAIR		P
UniProtKB	Q9XF89	LHCB5	involved_in	GO:0009765	photosynthesis, light harvesting	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001344	3702	InterPro		P
UniProtKB	Q9XF89	LHCB5	involved_in	GO:0009768	photosynthesis, light harvesting in photosystem I	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR21649:SF16	3702	TreeGrafter		P
UniProtKB	Q9XF89	LHCB5	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XF91	PSBS	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XFT3	PSBQ1	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR33399:SF3	3702	TreeGrafter		P
UniProtKB	Q9XFT3	PSBQ1	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008797	3702	InterPro		P
UniProtKB	Q9XFT3	PSBQ1	involved_in	GO:0015979	photosynthesis	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0602	3702	UniProt		P
UniProtKB	Q9XI73	PNSL2	acts_upstream_of_or_within	GO:0009767	photosynthetic electron transport chain	ECO:0000315	IMP	PMID:20430763		3702	TAIR		P
UniProtKB	Q9XI73	PNSL2	involved_in	GO:0009767	photosynthetic electron transport chain	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR33399:SF5	3702	TreeGrafter		P
UniProtKB	Q9XI73	PNSL2	involved_in	GO:0015979	photosynthesis	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008797	3702	InterPro		P
UniProtKB	Q9XIL5	OTP51	acts_upstream_of_or_within	GO:0048564	photosystem I assembly	ECO:0000315	IMP	PMID:18557832		3702	TAIR		P
UniProtKB	Q9XIL5	OTP51	involved_in	GO:0048564	photosystem I assembly	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q6ZHJ5|RAP2022-09-01:Os02t0702000-01	3702	EnsemblPlants		P
UniProtKB	Q9XIL5	OTP51	involved_in	GO:0048564	photosystem I assembly	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR47539:SF1	3702	TreeGrafter		P
UniProtKB	Q9ZNX9	SIGE	involved_in	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:14976253		3702	UniProt		P
UniProtKB	Q9ZR03	petC	acts_upstream_of_or_within	GO:0009767	photosynthetic electron transport chain	ECO:0000304	TAS	PMID:12040099		3702	TAIR		P
UniProtKB	Q9ZVE7	CRR3	acts_upstream_of_or_within	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000304	TAS	PMID:17041026		3702	TAIR		P
UniProtKB	Q9ZVE7	CRR3	involved_in	GO:0009773	photosynthetic electron transport in photosystem I	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR038931	3702	InterPro		P
UniProtKB	Q9ZVL6	At1g54780	acts_upstream_of_or_within	GO:0010206	photosystem II repair	ECO:0000315	IMP	PMID:17576201		3702	TAIR		P
UniProtKB	Q9ZVZ9	PSB27-2	acts_upstream_of_or_within	GO:0010207	photosystem II assembly	ECO:0000315	IMP	PMID:20444695		3702	TAIR		P
UniProtKB	Q9ZVZ9	PSB27-2	involved_in	GO:0010206	photosystem II repair	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR025585	3702	InterPro		P
UniProtKB	Q9ZVZ9	PSB27-2	involved_in	GO:0010207	photosystem II assembly	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR025585	3702	InterPro		P
UniProtKB	Q9ZVZ9	PSB27-2	involved_in	GO:0010207	photosystem II assembly	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTHR34041:SF3	3702	TreeGrafter		P
